date_issued,symbol,sector,company,signal,setup_class,investment_score,technical_score,rsi,supertrend_state,price_at_issue,entry_low,entry_high,stop_loss,target_1,target_2,regime_at_issue,fno_pcr,fno_oi_change_5d,fno_buildup,fno_signal,date_resolved,price_at_resolution,return_pct,hit_target,hit_stop,action_bucket,action_reason,fii_flow_signal,insider_alert,insider_score,insider_detail
2026-05-02,SANSERA,EV & Auto Ancillaries,SANSERA ENGINEERING LTD,HOLD,NEUTRAL,55.82,51.3,67.2,BULLISH,2576.7,2550.93,2619.74,2397.87,2632.9,2933.57,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,SONACOMS,EV & Auto Ancillaries,SONA BLW PRECISION FRGS L,HOLD,NEUTRAL,55.77,58.7,64.7,BULLISH,598.8,592.81,593.97,557.24,596.95,681.73,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,HINDALCO,Metals & Mining,HINDALCO  INDUSTRIES  LTD,HOLD,NEUTRAL,55.75,58.7,72.0,BULLISH,1074.3,1063.56,1061.17,999.75,1066.5,1223.09,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,SAIL,Metals & Mining,STEEL AUTHORITY OF INDIA,HOLD,NEUTRAL,55.68,54.7,76.2,BULLISH,185.63,183.77,184.39,172.74,185.32,211.34,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,KIOCL,Energy - Oil & Gas,KIOCL LIMITED,HOLD,NEUTRAL,55.3,58.0,67.8,BULLISH,419.9,415.7,425.06,390.76,427.2,478.06,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,TIINDIA,EV & Auto Ancillaries,TUBE INVEST OF INDIA LTD,HOLD,NEUTRAL,55.04,53.3,66.6,BULLISH,3001.0,2970.99,3061.02,2792.73,3153.0,3416.64,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,VEDL,Metals & Mining,VEDANTA LIMITED,HOLD,NEUTRAL,54.63,62.7,53.8,BULLISH,739.3,731.91,754.09,712.92,795.0,779.37,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,CASTROLIND,Energy - Oil & Gas,CASTROL INDIA LIMITED,HOLD,NEUTRAL,54.53,57.3,56.1,BULLISH,183.81,181.97,184.83,175.69,185.76,197.66,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,ADANIPOWER,Energy - Power,ADANI POWER LTD,WEAK_HOLD,NEUTRAL,53.71,45.3,88.3,BULLISH,223.35,221.12,221.05,207.85,222.16,254.29,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,NTPC,Energy - Power,NTPC LTD,HOLD,NEUTRAL,52.94,51.3,66.4,BULLISH,406.85,402.78,412.33,383.51,414.4,450.95,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,MOIL,Metals & Mining,MOIL LIMITED,HOLD,NEUTRAL,52.6,59.3,65.3,BULLISH,332.0,328.68,331.14,308.96,332.8,377.98,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,EXIDEIND,EV & Auto Ancillaries,EXIDE INDUSTRIES LTD,HOLD,NEUTRAL,49.97,51.3,67.7,BULLISH,356.25,352.69,358.65,331.53,360.45,405.59,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,HINDOILEXP,Energy - Oil & Gas,HINDUSTAN OIL EXPLORATION,HOLD,NEUTRAL,49.16,56.7,62.9,BULLISH,161.97,160.35,165.04,150.73,165.87,184.4,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,OBEROIRLTY,Realty,OBEROI REALTY LIMITED,WEAK_HOLD,NEUTRAL,49.02,46.7,63.9,BULLISH,1710.3,1693.2,1744.51,1592.17,1754.0,1945.78,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,BRIGADE,Realty,BRIGADE ENTER. LTD,HOLD,NEUTRAL,48.8,50.7,68.1,BULLISH,800.65,792.64,799.53,745.08,803.55,911.54,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,LUMAXTECH,EV & Auto Ancillaries,LUMAX AUTO TECH LTD,WEAK_HOLD,NEUTRAL,40.92,45.3,46.9,BULLISH,1663.2,1646.57,1696.46,1550.4,1898.0,1887.0,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,GODREJPROP,Realty,GODREJ PROPERTIES LTD,WEAK_HOLD,NEUTRAL,38.71,36.7,63.6,BULLISH,1824.6,1806.35,1839.76,1697.97,1849.0,2077.3,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,PRICOLLTD,EV & Auto Ancillaries,PRICOL LIMITED,WEAK_HOLD,NEUTRAL,37.57,38.7,57.2,BULLISH,596.55,590.58,608.48,563.4,626.4,658.52,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,LODHA,Realty,LODHA DEVELOPERS LIMITED,SELL,WEAK_TREND,29.16,28.0,57.8,BULLISH,882.9,874.07,890.33,821.63,894.8,1005.18,BEAR_TREND,,,,,,,,,,,,,,,
2026-05-02,MOTHERSON,EV & Auto Ancillaries,SAMVRDHNA MTHRSN INTL LTD,SELL,WEAK_TREND,27.8,34.0,55.2,BULLISH,125.22,123.97,127.72,116.53,132.99,142.57,BEAR_TREND,,,,,,,,,,,,,,,
